국가명,국가등급,평가일자
몬트세라트,7,2025-12-30
몰도바,6,2026-02-06
몰디브,7,2025-07-03
몰타,2,2023-10-06
몽골,6,2025-07-03
미국,1,2025-12-30
미국령 버진군도,3,2025-12-30
미국령 사모아,5,2024-11-21
미드웨이섬,7,2025-12-30
미얀마,7,2025-07-03
미크로네시아,6,2024-11-21
바누아투,6,2024-11-21
바레인,6,2026-02-06
바베이도스,6,2024-11-21
바티칸,2,2024-11-21
바하마,4,2025-10-17
방글라데시,6,2025-07-03
버뮤다,2,2025-12-30
베냉,6,2008-11-01
베네수엘라,7,2025-10-17
베넹,6,2025-10-17
베이커홀랜드섬,7,2025-12-30
베트남,4,2025-07-03
벨기에,1,2025-12-30
벨라루스,7,2026-02-06
벨리즈,7,2023-10-06
보스니아-헤르체코비나,6,2026-02-06
보츠와나,3,2025-07-03
볼리비아,7,2025-10-17
부룬디,7,2025-07-03
부르키나 파소,7,2009-10-30
부르키나파소,7,2025-10-17
부탄,6,2025-07-03
북마리아나 군도,3,2025-12-30
북마리아나 군도(사이판),3,2007-10-09
북마케도니아,5,2026-02-06
북한,7,2025-07-03
불가리아,2,2026-02-06
브라질,4,2025-10-17
브루나이,3,2024-11-21
사모아,5,2025-12-30
사우디아라비아,2,2026-02-06
사이프러스,4,2025-12-30
산 마리노,4,2024-11-21
산마리노,2,2007-10-09
상투메프린시페,6,2024-11-21
세네갈,7,2025-10-17
세르비아,4,2026-02-06
세르비아-몬테네그로,7,2007-02-02
세우타,4,2025-12-30
세이셸,5,2023-10-06
세인트 루시아,4,2024-11-21
세인트 빈센트 그레나딘,6,2024-11-21
세인트 키츠 네비스,3,2024-11-21
세인트 킷츠 네비스,7,2006-07-07
세인트 피에르 미켈론,4,2025-12-30
세인트 피에르도 미퀘론도,4,2007-10-09
세인트 헬레나,5,2007-10-09
세인트헬레나,5,2025-12-30
소말리아,7,2025-07-03
솔로몬제도,7,2024-11-21
수단,7,2025-07-03
수리남,7,2025-10-17
스리랑카,7,2025-07-03
스발바드,7,2022-08-31
스발바르,7,2025-12-30
스와질란드,6,2020-07-01
스와질랜드,6,2008-11-01
스웨덴,1,2025-12-30
스위스,1,2025-12-30
스페인,2,2025-12-30
슬로바키아,2,2025-12-30
슬로베니아,2,2025-12-30
시리아,7,2026-02-06
시에라리온,7,2025-10-17
싱가포르,1,2025-07-03
아랍 에미레이트,2,2006-10-30
아랍 에미레이트 연합,2,2009-04-10
아랍 에미리트 연합,3,2010-04-09
아랍에미리트 연합,2,2026-02-06
아루바,4,2025-10-17
아르메니아,5,2026-02-06
아르헨티나,7,2025-10-17
아쉬모아 카르티어 아일랜드,7,2025-12-30
아이슬란드,2,2025-12-30
아이슬랜드,2,2008-11-27
아이티,7,2025-10-17
아일랜드,1,2025-12-30
아제르바이잔,4,2026-02-06
아프가니스탄,7,2025-07-03
안길라,4,2007-10-09
안도라,3,2024-11-21
알랜드아일랜드,4,2025-12-30
알바니아,4,2026-02-06
알제리,5,2026-02-06
앙골라,6,2025-07-03
앤티가 바부다,7,2025-10-17
앤티가바부다,6,2009-07-10
앵귈라,4,2025-12-30
얀마옌,7,2025-12-30
에리트리아,7,2025-07-03
에스와티니,6,2025-07-03
에스토니아,2,2025-12-30
에콰도르,6,2025-10-17
에티오피아,7,2025-07-03
엘살바도르,6,2025-10-17
영국,1,2025-12-30
영국남극속령,7,2025-12-30
영국령 버진군도,3,2025-12-30
영국령 인도양지역,7,2025-12-30
예멘,7,2026-02-06
오만,3,2026-02-06
오스트리아,1,2025-12-30
온두라스,5,2025-10-17
요르단,5,2026-02-06
우간다,6,2025-07-03
우루과이,3,2025-10-17
우즈베키스탄,5,2026-02-06
우크라이나,7,2026-02-06
월리스푸투나제도,5,2025-12-30
월리스푸트나군도,5,2007-10-09
웨이크아일랜드,7,2025-12-30
이라크,7,2026-02-06
이란,7,2026-02-06
이스라엘,3,2025-12-30
이집트,6,2026-02-06
이탈리아,2,2025-12-30
인도,3,2025-07-03
인도네시아,3,2025-07-03
일본,1,2025-12-30
자메이카,5,2025-10-17
자비스섬,7,2025-12-30
잔메이엔,7,2022-08-31
잠비아,7,2025-07-03
적도 기니,7,2008-11-01
적도기니,7,2025-10-17
조지아,5,2026-02-06
존스톤 아일랜드,7,2025-12-30
중국,2,2025-07-03
중앙아프리카공화국,7,2025-10-17
지부티,7,2025-07-03
지브랄타,3,2025-12-30
지브롤터,3,2007-10-09
짐바브웨,7,2025-07-03
차넬군도(건지),3,2025-12-30
차넬군도(저지),2,2025-12-30
차드,7,2025-10-17
챠넬아일랜드(GUERNSEY),2,2007-10-09
챠넬아일랜드(JERSEY),2,2007-10-09
체코,1,2025-12-30
칠레,2,2025-12-30
카메룬,6,2025-10-17
카보베르데,5,2025-10-17
카자흐스탄,5,2026-02-06
카타르,2,2026-02-06
카포베르데,6,2013-10-25
캄보디아,6,2025-07-03
캐나다,1,2025-12-30
케냐,7,2025-07-03
케이만군도,3,2025-12-30
코랄섬,7,2025-12-30
코모로,6,2024-11-21
코소보,6,2026-02-06
코스타리카,3,2025-10-17
코코스 군도,7,2025-12-30
코코스 아일랜드,7,2007-10-09
코트디부아르,5,2025-10-17
콜롬비아,4,2025-10-17
콩고,7,2025-10-17
콩고(구 자이레),7,2007-07-06
"콩고,브라자빌",7,2007-07-06
콩고민주공화국,7,2025-10-17
콩고민주공화국(구자이레),7,2008-11-01
쿠바,7,2025-10-17
쿠웨이트,2,2026-02-06
쿡아일랜드,4,2011-12-28
쿡제도,4,2025-12-30
퀴라소,5,2025-10-17
크로아티아,3,2023-02-03
크리스마스 아일랜드,7,2007-10-09
크리스마스섬,7,2025-12-30
키르기즈공화국,7,2026-02-06
키르기즈스탄,7,2015-02-06
키리바시,6,2024-11-21
킹맨리프,7,2025-12-30
타지키스탄,7,2026-02-06
탄자니아,6,2025-07-03
태국,3,2025-07-03
터크스 카이코스군도,2,2025-12-30
터키,5,2022-07-08
토고,6,2025-10-17
토켈라우,3,2025-12-30
토켈라우군도,3,2007-10-09
통가,5,2024-11-21
통가왕국,7,2007-10-09
투르크메니스탄,7,2026-02-06
투발루,5,2024-11-21
튀니지,7,2026-02-06
튀르키예(구 터키),5,2026-02-06
트리니다드토바고,3,2025-10-17
파나마,4,2025-10-17
파라과이,4,2025-10-17
파키스탄,7,2025-07-03
파푸아뉴기니,6,2025-07-03
팔라우,3,2024-11-21
팔레스타인,7,2026-02-06
팔미라,7,2025-12-30
패로아일랜드,3,2007-10-09
페로군도,3,2025-12-30
페루,3,2025-10-17
포르투갈,2,2025-12-30
포클랜드(말비나스)군도,3,2007-10-09
포클랜드군도,4,2025-12-30
폴란드,2,2025-12-30
푸에르토 리코,2,2007-10-09
푸에르토리코,5,2025-12-30
프랑스,1,2025-12-30
프랑스령 가이아나,4,2007-10-09
프랑스령 극남군도,7,2025-12-30
프랑스령 기아나,4,2025-12-30
프랑스령 폴리네시아,2,2025-12-30
피지,5,2025-07-03
피트케안군도,7,2025-12-30
핀란드,1,2025-12-30
필리핀,3,2025-07-03
허드섬,7,2024-11-21
헝가리,3,2025-12-30
호주,1,2025-12-30
호주남극속령,7,2025-12-30
홍콩,2,2025-07-03
